Component,File/module path,Status,Evidence from code,Safe manuscript claim,Unsafe manuscript claim
LA-SRPE.Setup,— (no source module),not implemented,"HEAD e7bc2f6 tracks only .gitignore; no manifest or source tree exists.","LA-SRPE.Setup is mathematically specified but is not implemented or evaluated.","The prototype implements or benchmarks LA-SRPE.Setup."
LA-SRPE.KeyGen,— (no source module),not implemented,"HEAD e7bc2f6 tracks only .gitignore; no manifest or source tree exists.","LA-SRPE.KeyGen is mathematically specified but is not implemented or evaluated.","The prototype implements or benchmarks LA-SRPE.KeyGen."
LA-SRPE.TokenGen,— (no source module),not implemented,"HEAD e7bc2f6 tracks only .gitignore; no manifest or source tree exists.","LA-SRPE.TokenGen is mathematically specified but is not implemented or evaluated.","The prototype implements or benchmarks LA-SRPE.TokenGen."
LA-SRPE.Encrypt,— (no source module),not implemented,"HEAD e7bc2f6 tracks only .gitignore; no manifest or source tree exists.","LA-SRPE.Encrypt is mathematically specified but is not implemented or evaluated.","The prototype implements or benchmarks LA-SRPE.Encrypt."
LA-SRPE.Update,— (no source module),not implemented,"HEAD e7bc2f6 tracks only .gitignore; no manifest or source tree exists.","LA-SRPE.Update is mathematically specified but is not implemented or evaluated.","The prototype implements or benchmarks LA-SRPE.Update."
LA-SRPE.Transform,— (no source module),not implemented,"HEAD e7bc2f6 tracks only .gitignore; no manifest or source tree exists.","LA-SRPE.Transform is mathematically specified but is not implemented or evaluated.","The prototype implements or benchmarks LA-SRPE.Transform."
LA-SRPE.Decrypt,— (no source module),not implemented,"HEAD e7bc2f6 tracks only .gitignore; no manifest or source tree exists.","LA-SRPE.Decrypt is mathematically specified but is not implemented or evaluated.","The prototype implements or benchmarks LA-SRPE.Decrypt."
LA-SRPE.Revoke,— (no source module),not implemented,"HEAD e7bc2f6 tracks only .gitignore; no manifest or source tree exists.","LA-SRPE.Revoke is mathematically specified but is not implemented or evaluated.","The prototype implements or benchmarks LA-SRPE.Revoke."
TrapGen,— (no source module),not implemented,"No lattice library dependency, parameters, or source exists; TrapGen appears only as manuscript notation.","The manuscript calls for a standard trapdoor-generation routine; this repository does not implement it.","The concrete trapdoor implementation is complete, secure, or benchmarked."
SampleLeft,— (no source module),not implemented,"No lattice library dependency, Gaussian sampler, norm checks, parameters, or source exists.","SampleLeft is a required mathematical subroutine of the described instantiation.","The prototype contains a constant-time or distribution-correct SampleLeft."
gadget inversion,— (no source module),not implemented,"No gadget matrix representation, inversion routine, or tests exist.","Deterministic gadget inversion is specified on paper only.","Gadget inversion has been implemented or validated."
LWE matrix generation,— (no source module),not implemented,"No PRNG integration, matrix type, modulus arithmetic, parameter file, or source exists.","LWE matrices are sampled in the manuscript construction only.","The repository generates concrete secure LWE instances."
identity/time embedding,— (no source module),not implemented,"No full-rank-difference encoder, identity type, epoch type, or source exists.","The manuscript specifies identity/time embedding abstractly via HFRD.","Identity and epoch embedding is implemented and tested."
zero-inner-product predicate encoding,— (no source module),not implemented,"No vector encoding, modular inner product, policy parser, or source exists.","The described policy relation is zero inner product over Z_q.","The repository enforces zero-inner-product access control."
complete-subtree revocation,— (no source module),not implemented,"No tree, leaf assignment, revocation list, KUNodes/cover routine, or tests exist.","The manuscript specifies complete-subtree revocation and exposes its cover.","Complete-subtree cover generation or revocation scaling has been implemented or measured."
one-bit encryption/decryption,— (no source module),not implemented,"No ciphertext type, noise sampler, rounding decoder, parameter set, or source exists.","The concrete manuscript construction has a one-bit message space.","One-bit lattice encryption/decryption works in the prototype or has a measured failure rate."
bitwise AEAD-key protection,— (no source module),not implemented,"No BitProtect adapter, AEAD key type, loop over key bits, or source exists.","The manuscript proposes protecting each AEAD-key bit independently.","The bitwise session-key adapter is implemented, correct, practical, or benchmarked."
LA-RPQ-DS.Setup,— (no source module),not implemented,"No LA-RPQ-DS API, configuration, key registry, or source exists.","LA-RPQ-DS.Setup is specified as a composition on paper.","The repository implements the LA-RPQ-DS setup workflow."
LA-RPQ-DS.KeyGen,— (no source module),not implemented,"No user-key/token composition or authenticated delivery code exists.","LA-RPQ-DS.KeyGen is specified as calls to LA-SRPE.KeyGen and TokenGen.","The repository issues working LA-RPQ-DS keys and tokens."
LA-RPQ-DS.Encrypt,— (no source module),not implemented,"No payload-encryption code or AEAD dependency exists.","LA-RPQ-DS.Encrypt is specified to use a fresh session key and nonce.","Payload encryption is implemented or benchmarked."
LA-RPQ-DS.Share,— (no source module),not implemented,"No container type, bit protection, identifier hashing, signing, or serialisation code exists.","LA-RPQ-DS.Share is a proposed authenticated-container construction.","Share is implemented, interoperable, or benchmarked."
LA-RPQ-DS.Delegate,— (no source module),not implemented,"No signature check, update selection, transformation loop, or binding implementation exists.","LA-RPQ-DS.Delegate is specified componentwise over protected key bits.","Cloud delegation is implemented or its soundness is experimentally validated."
LA-RPQ-DS.Decrypt,— (no source module),not implemented,"No parser, signature verifier, binding check, key reconstruction, or AEAD decryption exists.","LA-RPQ-DS.Decrypt is specified as a composition on paper.","Authorised decryption and rejection cases pass in the prototype."
LA-RPQ-DS.Revoke,— (no source module),not implemented,"No persistent revocation state or transactional ordering code exists.","LA-RPQ-DS.Revoke is specified to invoke LA-SRPE.Revoke.","The framework enforces revocation in an implementation."
LA-RPQ-DS.Update,— (no source module),not implemented,"No update material, transport authentication, monotonic epoch state, or source exists.","LA-RPQ-DS.Update is specified and its authenticity/freshness are assumptions.","Authenticated fresh updates or rollback resistance are implemented."
AEAD encryption/decryption,— (no source module),not implemented,"No dependency manifest, cipher-suite selection, nonce API, or AEAD calls exist.","AEAD is a required generic component of the proposed composition.","A named AEAD suite is integrated, nonce-safe, or benchmarked."
post-quantum signature generation/verification,— (no source module),not implemented,"No dependency manifest, ML-DSA implementation, keys, signing, or verification code exists.","ML-DSA is identified as a candidate suite; the construction remains generic.","ML-DSA or another post-quantum signature is integrated or benchmarked."
hash/domain separation,— (no source module),not implemented,"No hash-suite selection or domain-separated hash call exists.","The manuscript defines domain labels and assumes a QPT collision-resistant hash.","Hashing/domain separation is implemented or parser ambiguity has been tested."
canonical encoding,— (no source module),not implemented,"No schema, codec, canonicality rules in code, decoder, or test vectors exist.","The manuscript requires versioned, injective, length-delimited canonical encoding.","A canonical wire format is implemented, stable, or interoperable."
pseudonymous handle generation,— (no source module),not implemented,"No handle generator or privacy mechanism exists; the manuscript profile exposes u and a content identifier cid.","No pseudonymous-handle implementation is supplied; baseline identities/object identifiers are linkable as declared.","The framework anonymises or unlinkably pseudonymises users or objects."
update authentication/freshness,— (no source module),not implemented,"No authority signing key, update envelope, replay cache, monotonic counter, durable state, or verification code exists.","Authenticated and fresh updates are explicit composition assumptions; rollback resistance is outside the concrete result.","The implementation authenticates updates or detects rollback/replay."
benchmark scripts,— (no source module),not implemented,"No benches directory, benchmark target, runner, manifest, or results exist.","Section 9 is an experimental plan and the repository supplies no measurements.","Any operation timing, size, scalability, practicality, or comparative-performance result is repository-backed."
test suite,— (no source module),not implemented,"No tests directory, inline tests, fixtures, vectors, manifest, or test runner exists; cargo test cannot find Cargo.toml.","Correctness and negative cases remain proposed tests.","Correctness, rejection behavior, revocation, rollback, or nonce handling has been validated."
